YEAR,Player,Team,Conf,G,Rec,RecYds,YperR,RecTD,RecYperG,RusAtt,RusYds,YperA,RusTD,RusYperG,Plays,Yds,Avg,TD,Awards
2024,Kris Hutson,Washington State,Ind,12,54,683,12.6,2,56.9,4,28,7,1,2.3,58,711,12.3,3,
2024,Joey Hobert,Texas State,Sun Belt,12,70,680,9.7,8,56.7,3,6,2,0,0.5,73,686,9.4,8,
2024,Chase Sowell,East Carolina,American,9,34,678,19.9,3,75.3,0,0,,0,0,34,678,19.9,3,
2024,Demeer Blankumsee,Memphis,American,13,45,677,15,6,52.1,2,-4,-2,0,-0.3,47,673,14.3,6,
2024,Ian Strong,Rutgers,Big Ten,12,43,676,15.7,5,56.3,0,0,,0,0,43,676,15.7,5,
2024,Luther Burden,Missouri,SEC,12,61,676,11.1,6,56.3,9,115,12.8,2,9.6,70,791,11.3,8,
2024,Vinny Anthony,Wisconsin,Big Ten,12,39,672,17.2,4,56,1,4,4,0,0.3,40,676,16.9,4,
2024,Eli Heidenreich,Navy,American,13,39,671,17.2,6,51.6,65,444,6.8,3,34.2,104,1115,10.7,9,
2024,Amare Thomas,UAB,American,12,62,670,10.8,8,55.8,4,8,2,0,0.7,66,678,10.3,8,
2024,Roderick Daniels Jr.,SMU,ACC,14,42,663,15.8,4,47.4,44,160,3.6,3,11.4,86,823,9.6,7,
2024,Dont'e Thornton,Tennessee,SEC,13,26,661,25.4,6,50.8,0,0,,0,0,26,661,25.4,6,
2024,Justin Joly,North Carolina State,ACC,13,43,661,15.4,4,50.8,0,0,,0,0,43,661,15.4,4,
2024,Terry Lockett Jr.,Eastern Michigan,MAC,12,46,660,14.3,5,55,5,27,5.4,0,2.3,51,687,13.5,5,
2024,Derwin Burgess Jr.,Georgia Southern,Sun Belt,13,59,659,11.2,3,50.7,1,2,2,0,0.2,60,661,11,3,
2024,Kameron Shanks,UAB,American,12,62,656,10.6,6,54.7,8,50,6.3,0,4.2,70,706,10.1,6,
2024,Coy Eakin,Texas Tech,Big 12,13,49,652,13.3,7,50.2,0,0,,0,0,49,652,13.3,7,
2024,Zakhari Franklin,Illinois,Big Ten,13,55,652,11.9,4,50.2,0,0,,0,0,55,652,11.9,4,
2024,Markus Allen,Eastern Michigan,MAC,11,43,651,15.1,3,59.2,0,0,,0,0,43,651,15.1,3,
2024,T.J. Moore,Clemson,ACC,14,45,651,14.5,5,46.5,0,0,,0,0,45,651,14.5,5,
2024,Victor Snow,Buffalo,MAC,13,55,651,11.8,6,50.1,9,61,6.8,2,4.7,64,712,11.1,8,
2024,Jeremiah Webb,South Alabama,Sun Belt,13,36,649,18,5,49.9,1,18,18,0,1.4,37,667,18,5,
2024,Nick Marsh,Michigan State,Big Ten,11,41,649,15.8,3,59,4,23,5.8,0,2.1,45,672,14.9,3,
2024,Oran Singleton,Eastern Michigan,MAC,12,64,639,10,2,53.3,6,23,3.8,0,1.9,70,662,9.5,2,
2024,Eli Stowers,Vanderbilt,SEC,13,49,638,13,5,49.1,6,7,1.2,0,0.5,55,645,11.7,5,
2024,Omarion Dollison,James Madison,Sun Belt,13,37,633,17.1,6,48.7,0,0,,0,0,37,633,17.1,6,
2024,Cade McDonald,Miami (OH),MAC,12,52,631,12.1,3,52.6,1,7,7,0,0.6,53,638,12,3,
2024,Kole Wilson,Texas State,Sun Belt,12,43,630,14.7,4,52.5,1,3,3,0,0.3,44,633,14.4,4,
2024,Pofele Ashlock,Hawaii,MWC,11,61,629,10.3,6,57.2,0,0,,0,0,61,629,10.3,6,
2024,Kaden Prather,Maryland,Big Ten,12,56,624,11.1,4,52,1,-1,-1,0,-0.1,57,623,10.9,4,
2024,Jack Endries,California,ACC,13,56,623,11.1,2,47.9,0,0,,0,0,56,623,11.1,2,
2024,Will Sheppard,Colorado,Big 12,13,48,621,12.9,6,47.8,0,0,,0,0,48,621,12.9,6,
2024,Louis Brown,San Diego State,MWC,11,38,620,16.3,3,56.4,0,0,,0,0,38,620,16.3,3,
2024,Matt Lauter,Boise State,MWC,14,47,619,13.2,7,44.2,0,0,,0,0,47,619,13.2,7,
2024,Isaiah Horton,Miami (FL),ACC,12,56,616,11,5,51.3,0,0,,0,0,56,616,11,5,
2024,Josh Dallas,Georgia Southern,Sun Belt,13,46,614,13.3,6,47.2,4,37,9.3,1,2.8,50,651,13,7,
2024,Evan Stewart,Oregon,Big Ten,13,48,613,12.8,5,47.2,0,0,,0,0,48,613,12.8,5,
2024,Savion Williams,Texas Christian,Big 12,12,60,611,10.2,6,50.9,51,322,6.3,6,26.8,111,933,8.4,12,
2024,Dominic Lovett,Georgia,SEC,14,59,607,10.3,6,43.4,0,0,,0,0,59,607,10.3,6,
